"","pitch_type","handedness","zone","pitch_speed","F_Runs"
"1","CH","L_L",1,79,2.91541864156729
"2","CH","L_L",1,80,-0.751690959471693
"3","CH","L_L",1,81,-14.1360780952048
"4","CH","L_L",1,83,-0.652127813639475
"5","CH","L_L",1,84,7.75886954631421
"6","CH","L_L",1,85,-32.5469833238007
"7","CH","L_L",1,86,29.7083390306997
"8","CH","L_L",1,87,-12.2806711583339
"9","CH","L_L",1,90,2.18755045558027
"10","CH","L_L",2,78,6.35151242345544
"11","CH","L_L",2,79,2.38796972416133
"12","CH","L_L",2,80,-3.00903381820708
"13","CH","L_L",2,81,-26.7321739593714
"14","CH","L_L",2,82,-17.6553237111479
"15","CH","L_L",2,83,-25.9458793662912
"16","CH","L_L",2,84,-5.29710715210028
"17","CH","L_L",2,85,-3.17252758876535
"18","CH","L_L",2,86,11.6851183326609
"19","CH","L_L",2,89,11.0613773718291
"20","CH","L_L",3,75,-3.58500885544518
"21","CH","L_L",3,76,15.3360402647966
"22","CH","L_L",3,77,-0.98989755970603
"23","CH","L_L",3,78,2.34682375063069
"24","CH","L_L",3,79,6.8673518218573
"25","CH","L_L",3,80,-4.30009710495518
"26","CH","L_L",3,81,2.2757890605235
"27","CH","L_L",3,82,18.1968772684257
"28","CH","L_L",3,83,-14.4057420976563
"29","CH","L_L",3,84,9.86400013754966
"30","CH","L_L",3,85,17.7214231085363
"31","CH","L_L",3,86,2.9118037027197
"32","CH","L_L",3,87,-5.56832136252733
"33","CH","L_L",3,88,0.983756517490085
"34","CH","L_L",3,89,0.0588399669620941
"35","CH","L_L",3,90,-3.37635282333281
"36","CH","L_L",3,91,19.974626442201
"37","CH","L_L",3,92,23.1517903072311
"38","CH","L_L",4,79,-1.46604911352188
"39","CH","L_L",4,80,-9.22336900427957
"40","CH","L_L",4,81,-16.7585025424472
"41","CH","L_L",4,82,13.8277460324016
"42","CH","L_L",4,83,-1.74801543992985
"43","CH","L_L",4,84,3.34252490867479
"44","CH","L_L",4,85,-0.828403470119324
"45","CH","L_L",4,86,2.14256585560279
"46","CH","L_L",4,87,-10.7689854516694
"47","CH","L_L",4,88,16.3196404473401
"48","CH","L_L",4,89,4.00902912870711
"49","CH","L_L",4,90,7.63273435420448
"50","CH","L_L",4,93,37.1633571161247
"51","CH","L_L",5,76,-6.63048018498843
"52","CH","L_L",5,77,-32.6727138367574
"53","CH","L_L",5,79,-2.77143884800909
"54","CH","L_L",5,80,-2.98200053942505
"55","CH","L_L",5,81,-2.81275781378002
"56","CH","L_L",5,82,4.54354952492782
"57","CH","L_L",5,83,2.61900384379409
"58","CH","L_L",5,84,-3.70470753836097
"59","CH","L_L",5,85,-1.82909884216688
"60","CH","L_L",5,86,1.05802433099392
"61","CH","L_L",5,87,-4.579899442308
"62","CH","L_L",5,88,-8.58355382769747
"63","CH","L_L",5,89,19.715226609033
"64","CH","L_L",5,90,-1.85785946358535
"65","CH","L_L",6,74,-21.4043219462658
"66","CH","L_L",6,77,3.93392716728856
"67","CH","L_L",6,78,12.2830712700064
"68","CH","L_L",6,79,26.0172360084789
"69","CH","L_L",6,80,-6.95280251678891
"70","CH","L_L",6,81,-21.3362866065728
"71","CH","L_L",6,82,-2.87489670425635
"72","CH","L_L",6,83,-1.49653047571646
"73","CH","L_L",6,84,0.95792810537755
"74","CH","L_L",6,85,2.74017388582475
"75","CH","L_L",6,86,3.95976817520442
"76","CH","L_L",6,87,15.4882625185288
"77","CH","L_L",6,88,-4.07516382217115
"78","CH","L_L",6,89,20.7105042120427
"79","CH","L_L",6,90,11.6472051902194
"80","CH","L_L",6,91,23.7220617067408
"81","CH","L_L",6,92,4.44792480079927
"82","CH","L_L",6,98,-4.04737811041518
"83","CH","L_L",7,78,-5.46212852372769
"84","CH","L_L",7,79,16.0424870133814
"85","CH","L_L",7,80,-7.08808911474398
"86","CH","L_L",7,81,6.05679673933232
"87","CH","L_L",7,82,-2.57582757143223
"88","CH","L_L",7,83,4.36598165434204
"89","CH","L_L",7,84,-7.19570116555555
"90","CH","L_L",7,85,8.81918771494934
"91","CH","L_L",7,86,10.0720891052815
"92","CH","L_L",7,87,4.49996232792747
"93","CH","L_L",7,88,9.07877539535037
"94","CH","L_L",7,89,-1.89265942048341
"95","CH","L_L",7,90,-2.37921181285239
"96","CH","L_L",7,94,-31.6087983749419
"97","CH","L_L",8,72,19.7999101457259
"98","CH","L_L",8,76,-19.0547304636391
"99","CH","L_L",8,79,-9.5839953743193
"100","CH","L_L",8,80,8.46126583186308
"101","CH","L_L",8,81,8.60239894806641
"102","CH","L_L",8,82,7.73412312483616
"103","CH","L_L",8,83,5.89324530817442
"104","CH","L_L",8,84,2.30506879970151
"105","CH","L_L",8,85,2.11821306931888
"106","CH","L_L",8,86,-1.92391446662815
"107","CH","L_L",8,87,-3.20091689280753
"108","CH","L_L",8,88,-3.04606965999497
"109","CH","L_L",8,89,-7.66135690698218
"110","CH","L_L",8,90,7.7600044857203
"111","CH","L_L",8,91,15.7742574306933
"112","CH","L_L",8,92,26.2473319735753
"113","CH","L_L",9,78,1.23469848484835
"114","CH","L_L",9,79,7.18254743029389
"115","CH","L_L",9,80,11.3597449925711
"116","CH","L_L",9,81,9.69312480856931
"117","CH","L_L",9,82,4.11184176868992
"118","CH","L_L",9,83,-2.22554190574703
"119","CH","L_L",9,84,8.1755996158068
"120","CH","L_L",9,85,11.3437591476716
"121","CH","L_L",9,86,7.71296822138784
"122","CH","L_L",9,87,-12.8654826951794
"123","CH","L_L",9,88,6.06932835317829
"124","CH","L_L",9,89,5.94266636365133
"125","CH","L_L",9,90,8.46828492655956
"126","CH","L_L",9,91,-9.95617469726318
"127","CH","L_L",9,92,14.3243305241591
"128","CH","L_L",11,70,3.00733490206003
"129","CH","L_L",11,71,1.32699477055127
"130","CH","L_L",11,79,5.67036870313571
"131","CH","L_L",11,80,-5.11265237052938
"132","CH","L_L",11,81,-6.10467833085846
"133","CH","L_L",11,82,-6.81562735917323
"134","CH","L_L",11,83,-10.2869973492537
"135","CH","L_L",11,84,-5.41745195113398
"136","CH","L_L",11,85,-4.17460406929973
"137","CH","L_L",11,86,-7.0672017329412
"138","CH","L_L",11,88,-46.3224395205984
"139","CH","L_L",12,71,-9.19134218409647
"140","CH","L_L",12,74,-14.5702058499489
"141","CH","L_L",12,76,-10.19428
"142","CH","L_L",12,77,-3.30357081493183
"143","CH","L_L",12,78,-30.7622242824221
"144","CH","L_L",12,79,-8.92569872644911
"145","CH","L_L",12,80,1.35466146009319
"146","CH","L_L",12,81,-3.02822038874303
"147","CH","L_L",12,82,-4.0578353423539
"148","CH","L_L",12,83,-6.87887445464061
"149","CH","L_L",12,84,-7.75431068416669
"150","CH","L_L",12,85,-9.07380221876204
"151","CH","L_L",12,86,-5.8442569883249
"152","CH","L_L",12,87,-13.4269253664672
"153","CH","L_L",12,88,-5.25663027964284
"154","CH","L_L",12,89,-2.79176275432099
"155","CH","L_L",12,90,1.46604482271277
"156","CH","L_L",12,91,2.58058757072
"157","CH","L_L",12,92,2.88266319104691
