,FF-FF,FF-CU,FF-SL,FF-CH,FF-SI,FF-FC,CU-FF,CU-CU,CU-SL,CU-CH,CU-SI,CU-FC,SL-FF,SL-CU,SL-SL,SL-CH,SL-SI,SL-FC,CH-FF,CH-CU,CH-SL,CH-CH,CH-SI,CH-FC,SI-FF,SI-CU,SI-SL,SI-CH,SI-SI,SI-FC,FC-FF,FC-CU,FC-SL,FC-CH,FC-SI,FC-FC
"abreu, bryan",25.124626121635096,3.1904287138584246,16.749750747756732,0.09970089730807577,,,3.988035892323031,3.1904287138584246,2.6919242273180455,0.09970089730807577,0.09970089730807577,,15.752741774675972,3.688933200398804,24.22731804586241,0.09970089730807577,0.19940179461615154,,0.09970089730807577,,0.19940179461615154,,,,0.19940179461615154,,0.09970089730807577,,0.09970089730807577,,,,,,,
"acevedo, domingo",17.77777777777778,,14.84848484848485,9.494949494949495,0.40404040404040403,,,,,,,,12.929292929292929,,14.646464646464647,6.4646464646464645,0.10101010101010101,,11.717171717171718,,3.8383838383838382,6.363636363636363,0.40404040404040403,,0.20202020202020202,,0.7070707070707071,,,,,,,,,
"adon, joan",43.85382059800664,14.202657807308968,0.41528239202657813,4.817275747508306,2.1594684385382057,,13.870431893687707,6.976744186046512,,1.6611295681063125,0.6644518272425249,,0.24916943521594684,0.24916943521594684,0.16611295681063123,,,,5.3156146179401995,0.9966777408637874,0.08305647840531562,0.16611295681063123,0.24916943521594684,,2.2425249169435215,0.6644518272425249,,0.16611295681063123,0.7475083056478405,,,,,,,
"akin, keegan",25.061830173124484,0.08244023083264633,16.570486397361915,10.305028854080792,,,0.4122011541632316,,,,,,17.312448474855728,0.16488046166529266,9.23330585325639,2.6380873866446826,,,9.23330585325639,0.16488046166529266,3.544929925803792,5.193734542456719,,,,,,,,,,,,,,
"alcantara, sandy",7.820197044334975,0.03078817733990148,5.110837438423645,7.050492610837439,5.080049261083744,,0.12315270935960591,0.03078817733990148,,0.09236453201970443,0.09236453201970443,,4.833743842364532,0.09236453201970443,6.804187192118226,4.464285714285714,5.788177339901478,,7.573891625615764,0.12315270935960591,4.002463054187192,9.821428571428571,6.0344827586206895,,4.741379310344827,0.06157635467980296,6.065270935960592,6.126847290640394,7.974137931034483,,,,,,,
"alexander, jason",,,1.0344827586206897,0.8620689655172413,2.5,,,,,,,,1.293103448275862,,5.344827586206897,2.844827586206897,13.706896551724137,,1.4655172413793103,,2.9310344827586206,3.2758620689655173,8.017241379310343,,1.6379310344827587,,13.879310344827585,8.706896551724137,32.41379310344827,,,,,,,
"alexander, tyler",6.604402935290193,,2.535023348899266,4.202801867911941,4.202801867911941,6.270847231487658,,,,,,,3.7358238825883925,,2.535023348899266,0.733822548365577,1.9346230820547032,2.068045363575717,4.603068712474983,,1.8679119412941962,2.334889926617745,3.3355570380253505,6.204136090727151,2.535023348899266,,2.601734489659773,3.402268178785857,4.402935290193462,5.870580386924616,6.337558372248166,,1.467645096731154,7.605070046697798,5.003335557038025,7.538358905937291
"anderson, ian",24.389027431421447,6.982543640897755,,16.55860349127182,,,9.17705735660848,5.336658354114713,,4.139650872817955,,,,,,,,,14.364089775561098,6.334164588528678,,12.668329177057355,,,,,,,,,,,,,,
"anderson, tyler",13.975155279503104,0.6599378881987578,,14.130434782608695,1.4751552795031055,7.763975155279502,0.2329192546583851,0.03881987577639751,,0.5822981366459627,0.11645962732919254,0.2717391304347826,,,,,,,12.888198757763975,0.19409937888198758,,9.743788819875776,1.9021739130434785,6.909937888198758,1.9021739130434785,0.3105590062111801,,1.3975155279503106,0.7375776397515528,2.7562111801242235,9.006211180124224,0.03881987577639751,,5.745341614906832,2.872670807453416,4.309006211180124
"archer, chris",13.65416899832121,1.4549524342473419,15.668718522663683,4.868494683827644,,,1.9026301063234472,0.33575825405707893,2.3503077783995523,0.6715165081141579,,,15.332960268606602,2.574146614437605,20.145495243424737,6.267487409065472,,,4.8125349748181305,0.8953553441522105,6.099608282036933,2.9099048684946838,,,,,,,,,,,,,,
