"","last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent","Season"
"1","Burnes, Corbin",669203,"MIL","FC","Cutter",1,18,1706,55.4,455,0.209,0.34,0.298,22.7,19.8,22.1,0.245,0.385,0.324,34.1,2023
"2","Javier, Cristian",664299,"HOU","FF","4-Seamer",0.7,12,1682,58.4,450,0.236,0.455,0.331,26.5,21.8,19,0.234,0.491,0.345,41.3,2023
"3","Strider, Spencer",675911,"ATL","FF","4-Seamer",0.1,2,1826,58.9,435,0.256,0.431,0.339,28.7,28.5,22.3,0.24,0.416,0.319,40.7,2023
"4","Webb, Logan",657277,"SF","CH","Changeup",2.1,28,1324,41.6,433,0.225,0.309,0.254,22.8,21.2,19.8,0.234,0.319,0.257,44,2023
"5","Steele, Justin",657006,"CHC","FF","4-Seamer",0.9,15,1676,62.6,429,0.275,0.393,0.33,20.3,19.1,19.9,0.277,0.401,0.326,36.1,2023
"6","Cole, Gerrit",543037,"NYY","FF","4-Seamer",1.7,29,1739,53,429,0.201,0.332,0.275,22.7,28.2,21.6,0.223,0.403,0.305,45.7,2023
"7","Gausman, Kevin",592332,"TOR","FF","4-Seamer",1,16,1560,50.8,411,0.243,0.409,0.316,17.2,26.5,24.6,0.27,0.482,0.349,52.6,2023
"8","Corbin, Patrick",571578,"WSH","SIFT","Sinker",-0.2,-2,1212,41.5,405,0.32,0.456,0.376,7.4,10.6,13.9,0.309,0.464,0.363,44,2023
"9","Gallen, Zac",668678,"AZ","FF","4-Seamer",1.7,27,1601,49.3,405,0.237,0.358,0.289,19.2,22.7,21.7,0.256,0.442,0.329,51.4,2023
"10","Valdez, Framber",664285,"HOU","SIFT","Sinker",0.8,10,1385,46.9,392,0.274,0.455,0.356,12.6,8.9,20.7,0.305,0.511,0.392,50.2,2023
"11","Bassitt, Chris",605135,"TOR","SIFT","Sinker",2.2,27,1235,39.3,374,0.223,0.338,0.295,14.4,16.3,19.2,0.25,0.392,0.314,38.8,2023
"12","Kopech, Michael",656629,"CWS","FF","4-Seamer",-0.3,-4,1492,61.4,369,0.244,0.462,0.396,26.4,21.1,20.7,0.24,0.447,0.394,43.8,2023
"13","Sears, JP",676664,"OAK","FF","4-Seamer",0.1,2,1441,50.3,369,0.256,0.478,0.365,21.7,23.6,17.8,0.248,0.469,0.352,43.5,2023
"14","Montgomery, Jordan",656756,"TEX","SIFT","Sinker",1.3,16,1245,42.6,362,0.255,0.374,0.319,14.1,14.9,18.2,0.274,0.421,0.334,42.2,2023
"15","Ryan, Joe",657746,"MIN","FF","4-Seamer",0.8,13,1526,56.9,357,0.24,0.457,0.316,28.7,33.6,23.2,0.208,0.379,0.275,44,2023
"16","Nelson, Ryne",669194,"AZ","FF","4-Seamer",-0.6,-7,1285,54.6,354,0.308,0.553,0.388,16.7,14.4,13.1,0.294,0.555,0.387,47.4,2023
"17","Ashcraft, Graham",668933,"CIN","FC","Cutter",0.1,1,1230,52.9,352,0.292,0.436,0.367,16.9,11.4,14.3,0.29,0.418,0.357,39.9,2023
"18","Luzardo, Jesús",666200,"MIA","FF","4-Seamer",1.2,16,1375,46,351,0.23,0.381,0.314,19.4,19.4,17.8,0.265,0.476,0.349,44.2,2023
"19","Waldichuk, Ken",686610,"OAK","FF","4-Seamer",-0.3,-4,1387,54.3,346,0.275,0.493,0.394,17.8,15.6,13.6,0.25,0.465,0.368,42.6,2023
"20","Snell, Blake",605483,"SD","FF","4-Seamer",0.3,5,1541,48.6,344,0.255,0.389,0.368,19.5,18.9,18.6,0.283,0.492,0.401,43.4,2023
"21","Singer, Brady",663903,"KC","SIFT","Sinker",-0.9,-12,1336,51.1,343,0.338,0.553,0.419,11.5,14,17.1,0.302,0.51,0.38,49,2023
"22","Peralta, Freddy",642547,"MIL","FF","4-Seamer",0.8,12,1453,51.2,340,0.213,0.387,0.297,29.2,31.5,20.7,0.21,0.358,0.286,43.5,2023
"23","Gore, MacKenzie",669022,"WSH","FF","4-Seamer",-0.2,-3,1464,59.5,338,0.279,0.503,0.378,21.6,22.2,17.5,0.277,0.51,0.376,46.6,2023
"24","Morton, Charlie",450203,"ATL","CUKC","Curveball",2,25,1228,43.2,334,0.177,0.258,0.242,42,37.1,26.4,0.189,0.291,0.255,31.6,2023
"25","Verlander, Justin",434378,"HOU","FF","4-Seamer",0.9,12,1301,50,334,0.235,0.417,0.322,18.1,16.5,18.1,0.253,0.458,0.337,50.4,2023
"26","Williams, Trevor",592866,"WSH","FF","4-Seamer",-0.7,-8,1133,43.2,331,0.283,0.563,0.385,16.7,19.9,17.1,0.274,0.537,0.371,40.9,2023
"27","Cease, Dylan",656302,"CWS","SL","Slider",0.8,10,1260,38.6,331,0.216,0.339,0.286,43.3,36,23.1,0.216,0.318,0.273,43.2,2023
"28","Cease, Dylan",656302,"CWS","FF","4-Seamer",-0.2,-3,1408,43.2,330,0.273,0.436,0.37,20.5,20.9,17.9,0.245,0.394,0.339,40.5,2023
"29","Smyly, Drew",592767,"CHC","CUKC","Curveball",-0.3,-4,1186,49.4,330,0.229,0.399,0.311,36,30,23.6,0.194,0.307,0.248,24.5,2023
"30","Heaney, Andrew",571760,"TEX","FF","4-Seamer",0,1,1506,57.9,327,0.236,0.431,0.348,25.6,25.4,17.8,0.218,0.426,0.336,40.2,2023
"31","Giolito, Lucas",608337,"CLE","FF","4-Seamer",-0.6,-8,1338,41.9,325,0.262,0.546,0.381,20,24.9,20.5,0.264,0.51,0.37,50.2,2023
"32","Oviedo, Johan",670912,"PIT","SL","Slider",1.1,12,1095,36.7,324,0.21,0.349,0.312,32.6,27.2,23.3,0.222,0.352,0.305,36.6,2023
"33","Lynn, Lance",458681,"LAD","FF","4-Seamer",-0.6,-9,1376,43.4,323,0.254,0.512,0.363,31.4,27.9,21.1,0.25,0.496,0.349,46,2023
"34","Singer, Brady",663903,"KC","SL","Slider",-0.2,-2,1098,42,321,0.241,0.398,0.301,33.2,25.2,22.1,0.247,0.394,0.304,49.8,2023
"35","Wheeler, Zack",554430,"PHI","FF","4-Seamer",1.2,17,1370,43.4,320,0.199,0.333,0.266,31.4,32.2,23.7,0.199,0.333,0.26,43.1,2023
"36","Castillo, Luis",622491,"SEA","FF","4-Seamer",1.3,19,1423,44.4,320,0.165,0.384,0.282,33,32.8,21.1,0.185,0.424,0.303,47.2,2023
"37","Gilbert, Logan",669302,"SEA","FF","4-Seamer",0,0,1224,41.9,312,0.28,0.491,0.358,17.7,17,16.7,0.276,0.508,0.358,55,2023
"38","Miller, Bryce",682243,"SEA","FF","4-Seamer",0,0,1224,58.4,312,0.256,0.45,0.333,27.1,26.3,21.6,0.253,0.461,0.332,40.6,2023
"39","Kirby, George",669923,"SEA","FF","4-Seamer",1.3,14,1112,39.4,306,0.234,0.392,0.288,28,28.4,21.7,0.244,0.428,0.303,43.2,2023
"40","Oviedo, Johan",670912,"PIT","FF","4-Seamer",-1,-12,1169,39.2,305,0.277,0.477,0.376,18.3,16.1,16.8,0.275,0.471,0.371,47.2,2023
"41","Megill, Tylor",656731,"NYM","FF","4-Seamer",-0.6,-7,1245,55.7,304,0.314,0.494,0.407,18.4,13.8,14.9,0.309,0.543,0.408,48.6,2023
"42","Gausman, Kevin",592332,"TOR","FS","Splitter",0.3,4,1178,38.4,303,0.201,0.307,0.266,43.2,41.9,23.8,0.178,0.271,0.239,29.3,2023
"43","Hendricks, Kyle",543294,"CHC","CH","Changeup",1.4,12,867,41.1,298,0.18,0.279,0.233,32.4,23.5,18.6,0.206,0.287,0.236,17.8,2023
"44","Elder, Bryce",693821,"ATL","SIFT","Sinker",0.1,2,1075,37.7,297,0.278,0.4,0.354,13.4,11.8,14.3,0.299,0.436,0.366,45.7,2023
"45","Cobb, Alex",502171,"SF","FS","Splitter",0.4,4,971,38.7,297,0.239,0.386,0.295,24.6,19.2,17.2,0.275,0.427,0.315,44.5,2023
"46","Walker, Taijuan",592836,"PHI","FS","Splitter",0.6,6,943,33.2,295,0.205,0.295,0.269,24.5,21.7,18.2,0.231,0.339,0.289,44.9,2023
