,#,Season,Name,Team,IP,Stf+ FF,Stf+ SI,Stf+ FC,Stf+ SL,Stf+ CU,Stf+ CH,fg_ID,key_mlbam,player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SL_release_spin_rate,mlbAM_ID,SI_pfx_x,SI_pfx_z,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,Year
0,1,2020,Aaron Civale,CLE,74.0,67.0,83.0,104.0,100.0,150.0,91.0,19479,650644,"Civale, Aaron",-1.278728814,1.002619926,-0.328148148,0.620322581,0.726864407,-1.314649446,1.342592593,-0.154435484,-1.036271186,-0.638450185,-0.724444444,-0.823709677,5.860254237,6.120811808,6.073333333,6.0275,85.30338983,75.68118081,91.25925926,82.24112903,2031.779661,2836.121771,2339.592593,2703.395161,650644.0,-1.125349462,0.981236559,-0.90561828,5.933709677,91.75430108,2268.233871,0.419264305,0.734277929,-0.735476839,6.100926431,87.4106267,2497.773224,2020
1,2,2020,Aaron Nola,PHI,71.1,114.0,101.0,,,147.0,110.0,16149,605400,"Nola, Aaron",-1.205350318,1.261503268,-1.149321429,,0.202133758,-0.846895425,1.15275,,-1.964171975,-1.814640523,-1.814107143,,4.831815287,5.067058824,4.943321429,,84.92133758,78.60816993,92.84928571,,1517.550955,2498.696078,2180.344086,,605400.0,-1.446612903,0.691008065,-1.816774194,4.930846774,91.78145161,2100.858871,,,,,,,2020
2,3,2021,Aaron Nola,PHI,180.2,103.0,106.0,102.0,,126.0,87.0,16149,605400,"Nola, Aaron",-1.253089983,1.21576779,-1.10638565,,0.183837012,-0.854606742,1.183569507,,-1.957385399,-1.795418227,-1.804789238,,4.936078098,5.189612984,5.078941704,,85.15280136,78.46566792,92.89865471,,1511.023769,2529.333333,2198.209865,,605400.0,-1.458619048,0.73647619,-1.804666667,5.044142857,92.0497619,2137.221429,0.081956522,0.625217391,-1.941521739,5.163695652,86.71521739,2179.108696,2021
3,5,2023,Aaron Nola,PHI,193.2,95.0,100.0,111.0,,118.0,70.0,16149,605400,"Nola, Aaron",-1.229333333,1.045475947,-1.016156388,,0.387564103,-0.919283521,1.262257709,,-2.121051282,-1.993500512,-1.995011013,,5.004230769,5.242425793,5.18530837,,85.92641026,79.36888434,92.71938326,,1558.18863,2590.776749,2304.225166,,605400.0,-1.450773196,0.756941581,-1.979810997,5.11847079,91.77783505,2221.576857,0.06873913,0.536608696,-1.996608696,5.192521739,86.32434783,2266.43913,2023
4,6,2020,Adam Wainwright,STL,65.2,61.0,80.0,101.0,,137.0,92.0,2233,425794,"Wainwright, Adam",-1.13173913,1.401573034,-0.188255814,,0.576086957,-1.175252809,1.220581395,,-1.399130435,-1.181769663,-1.148604651,,6.176521739,6.308932584,6.205348837,,81.84782609,73.49269663,89.15930233,,1683.478261,2790.820225,2218.290698,,425794.0,-1.010753968,0.946309524,-1.198492063,6.140912698,89.27539683,2187.694444,0.500328638,0.507793427,-1.201314554,6.226384977,85.01267606,2343.333333,2020
5,7,2021,Adam Wainwright,STL,206.1,81.0,96.0,106.0,,133.0,84.0,2233,425794,"Wainwright, Adam",-1.153418367,1.382030948,-0.160034602,,0.643826531,-1.227882012,1.217647059,,-1.333469388,-1.175077369,-1.167647059,,6.221887755,6.368810445,6.273598616,,82.74081633,73.47601547,89.02422145,,1714.687179,2839.100292,2227.562937,,425794.0,-1.061531323,1.023294664,-1.206972158,6.214965197,89.05580046,2229.295006,0.52958457,0.540712166,-1.18462908,6.30495549,84.94035608,2408.166667,2021
6,9,2020,Alec Mills,CHC,62.1,72.0,86.0,,91.0,68.0,94.0,13834,621219,"Mills, Alec",-1.266944444,1.071478873,-0.794791667,1.378947368,0.307152778,-0.871971831,1.160291667,-0.199684211,-3.085972222,-3.092112676,-3.121125,-3.134,5.605555556,5.79084507,5.794458333,5.668842105,80.71458333,66.62112676,89.78208333,77.48526316,1709.340278,2377.697183,2181.41841,2583.578947,621219.0,-1.350925926,0.603734568,-3.113425926,5.733518519,89.8867284,2184.759375,,,,,,,2020
7,11,2020,Andrew Heaney,LAA,66.2,101.0,,,,89.0,93.0,15423,571760,"Heaney, Andrew",1.354074074,-0.47739777,1.153413078,,0.67010582,-0.29260223,1.307033493,,2.97962963,3.024572491,3.037511962,,5.388042328,5.408884758,5.254625199,,82.96719577,79.21486989,91.51499203,,2004.820106,2549.598513,2434.786859,,571760.0,,,,,,,,,,,,,2020
8,12,2021,Anthony DeSclafani,SFG,167.2,100.0,99.0,,104.0,84.0,80.0,13050,543101,"DeSclafani, Anthony",-1.309330855,0.526394231,-0.80083815,0.344852136,0.411152416,-0.514519231,1.35666185,0.383198248,-1.906022305,-1.799615385,-1.738554913,-1.812519168,5.423457249,5.542163462,5.644248555,5.601029573,88.2267658,82.9625,94.07789017,87.94589266,1582.501859,1964.378641,2264.572464,2197.644766,543101.0,-1.297121849,0.932983193,-1.682226891,5.624138655,94.00357143,2091.541226,,,,,,,2021
9,13,2020,Antonio Senzatela,COL,73.1,77.0,,,103.0,96.0,63.0,15488,622608,"Senzatela, Antonio",-0.70328125,0.643333333,-0.502161765,0.434533333,0.74046875,-0.569351852,0.898455882,0.151533333,-2.58015625,-2.056203704,-2.559985294,-2.582733333,5.835859375,6.21787037,5.843911765,5.890133333,86.42578125,79.16574074,94.38764706,86.30833333,2128.671875,2316.898148,2140.011817,2177.993333,622608.0,,,,,,,,,,,,,2020
