"player_name","game_year","pitches","ab","whiff","iz_whiff","chase_rate","hard_hit","paint_rate","iz_take","put_away","xwOBA","pred_xwoba","yr_avg","Dominance+","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","ERA","xERA","FIP","xFIP","WAR","Stf+ FA","Stf+ SI","Stf+ FC","Stf+ FS","Stf+ SL","Stf+ CU","Stf+ CH","Stf+ KC","Stf+ FO","Stuff+","Location+","Pitching+"
"Josh Hader",2025,847,203,0.385438972162741,0.255737704918033,0.377622377622378,0.342342342342342,0.188902007083825,0.270334928229665,0.247557003257329,0.229723455445545,0.236083924770355,0.323665723117006,134.543577932858,"HOU",6,2,28,48,0,52.2,12.99,2.73,1.37,2.05,2.04,3.25,3.18,1.1,NA,121,NA,NA,118,NA,81,NA,NA,118,100,114
"Mason Miller",2024,1024,246,0.376865671641791,0.270893371757925,0.374257425742574,0.32520325203252,0.1953125,0.33140655105973,0.292957746478873,0.206278658536585,0.237868711352348,0.318945146663843,131.599517146581,"OAK",2,2,28,55,0,65,14.4,2.91,0.83,2.49,1.77,2.18,2.21,2.3,126,NA,NA,96,136,NA,96,NA,NA,129,93,120
"Kirby Yates",2024,1026,232,0.308300395256917,0.25531914893617,0.328385899814471,0.330578512396694,0.189083820662768,0.324435318275154,0.230978260869565,0.2119540995671,0.24134074151516,0.318945146663843,129.734945315272,"TEX",7,2,33,61,0,61.2,12.41,4.09,0.44,1.17,1.86,2.5,3.12,1.9,100,NA,NA,92,89,NA,NA,NA,NA,97,99,94
"Robert Stephenson",2023,763,198,0.460975609756098,0.29045643153527,0.41320293398533,0.324074074074074,0.17300131061599,0.319209039548023,0.333333333333333,0.257286432160804,0.243162006139755,0.31862177618382,128.557321000761,"2 Tms",3,4,1,60,0,52.1,13.24,2.75,1.38,3.1,2.74,3.22,2.84,1,95,NA,121,98,118,107,NA,NA,NA,112,98,106
"Devin Williams",2023,948,229,0.384269662921348,0.281954887218045,0.326047358834244,0.298245614035088,0.182489451476793,0.333333333333333,0.307420494699647,0.253458515283843,0.246144101023674,0.31862177618382,126.98715524808,"MIL",8,3,36,61,0,58.2,13.35,4.3,0.61,1.53,2.66,2.66,2.79,1.8,104,NA,90,NA,NA,NA,114,NA,NA,110,103,116
"Edwin Uceta",2024,672,157,0.314121037463977,0.242424242424243,0.338192419825073,0.311827956989247,0.181547619047619,0.297872340425532,0.2375,0.215847828025478,0.247333317995071,0.318945146663843,126.59461380991,"TBR",2,0,5,30,0,41.2,12.31,1.73,0.43,1.51,1.92,1.7,2.49,1.7,NA,NA,104,NA,109,130,90,NA,NA,103,105,107
"Félix Bautista",2023,988,235,0.407114624505929,0.321321321321321,0.326415094339623,0.350515463917526,0.176113360323887,0.27292576419214,0.351437699680511,0.223017021276596,0.251882970333099,0.31862177618382,124.141229821346,"BAL",8,2,33,56,0,61,16.23,3.84,0.59,1.48,2.08,1.88,2.3,2.8,130,NA,NA,139,87,NA,NA,NA,NA,126,96,127
"Tanner Scott",2023,1208,302,0.341423948220065,0.238442822384428,0.353242320819112,0.265895953757225,0.184602649006623,0.339228295819936,0.269430051813471,0.245049668874172,0.252281695604324,0.31862177618382,123.94495910226,"MIA",9,5,12,74,0,78,12,2.77,0.35,2.31,2.5,2.17,2.66,2.8,117,NA,NA,NA,130,NA,NA,NA,NA,124,100,123
"Josh Hader",2023,1042,227,0.312260536398468,0.232415902140673,0.336206896551724,0.283185840707965,0.175623800383877,0.292207792207792,0.235457063711911,0.237737991266376,0.252751559019089,0.31862177618382,123.748688383175,"SDP",2,3,33,61,0,56.1,13.58,4.79,0.48,1.28,2.34,2.69,3.52,1.7,NA,111,NA,NA,118,NA,95,NA,NA,112,99,110
"Dylan Lee",2024,859,233,0.352941176470588,0.239766081871345,0.373762376237624,0.319727891156463,0.19674039580908,0.248351648351648,0.285171102661597,0.24951747639485,0.252890944480896,0.318945146663843,123.748688383175,"ATL",4,2,0,52,0,59.2,11.46,2.56,1.06,2.11,2.55,3,3.15,0.8,103,NA,NA,NA,110,NA,83,NA,NA,105,102,105
"Raisel Iglesias",2024,928,253,0.298969072164948,0.211726384364821,0.370833333333333,0.308571428571429,0.188577586206897,0.314732142857143,0.25,0.23341852173913,0.255828529596329,0.318945146663843,122.374793349579,"ATL",6,2,34,66,0,69.1,8.83,1.69,0.52,1.95,2.24,2.65,3.38,1.6,100,103,NA,NA,130,NA,91,NA,NA,107,103,109
"Mason Miller",2025,972,228,0.422680412371134,0.260869565217391,0.354961832061069,0.383838383838384,0.14917695473251,0.332589285714285,0.319018404907976,0.254847144736842,0.262697249650955,0.323665723117006,120.902762956441,"2 Tms",1,2,22,60,0,61.2,15.18,4.09,0.73,2.63,2.51,2.23,2.27,2,120,NA,NA,NA,128,NA,94,NA,NA,123,89,113
"Aroldis Chapman",2025,917,227,0.327619047619048,0.256613756613757,0.345882352941177,0.3671875,0.186477644492912,0.231707317073171,0.244252873563218,0.231209339207048,0.262870162725449,0.323665723117006,120.804627596898,"BOS",5,3,32,67,0,61.1,12.47,2.2,0.44,1.17,2.07,1.73,2.53,2.6,82,124,NA,129,126,NA,NA,NA,NA,108,125,130
"Cade Smith",2025,1182,296,0.302588996763754,0.227064220183486,0.323843416370107,0.369942196531792,0.186125211505922,0.296774193548387,0.279569892473118,0.251259310810811,0.262843102216721,0.323665723117006,120.804627596898,"CLE",8,5,16,76,0,73.2,12.71,2.32,0.49,2.93,2.44,1.95,2.65,2.7,103,NA,NA,120,122,NA,NA,NA,NA,108,107,115
"Edwin Díaz",2024,912,216,0.352017937219731,0.262458471760797,0.307203389830508,0.302752293577982,0.175438596491228,0.315909090909091,0.280936454849498,0.245537944444444,0.259254306554794,0.318945146663843,120.706492237356,"NYM",6,4,20,54,0,53.2,14.09,3.35,1.17,3.52,2.48,3.02,2.59,1.1,111,NA,NA,NA,118,NA,NA,NA,NA,115,96,114
"Tanner Scott",2024,1163,284,0.30514096185738,0.223004694835681,0.319494584837545,0.27810650887574,0.190025795356836,0.300492610837438,0.225201072386059,0.268040368794326,0.261430144309998,0.318945146663843,119.72513864193,"2 Tms",9,6,22,72,0,72,10.5,4.5,0.38,1.75,2.96,2.92,3.38,1.6,121,NA,NA,NA,127,NA,199,NA,NA,124,96,118
"Phil Maton",2025,1008,244,0.334038054968288,0.259259259259259,0.306584362139918,0.306569343065693,0.196428571428571,0.379310344827586,0.253968253968254,0.267984602459016,0.265622019767761,0.323665723117006,119.627003282388,"2 Tms",4,5,5,63,0,61.1,11.89,3.38,0.44,2.79,2.77,2.6,3.04,1.5,NA,84,91,NA,95,126,NA,NA,NA,104,102,108
"Tarik Skubal",2025,2849,745,0.303651505445227,0.225922592259226,0.351014040561622,0.331196581196581,0.185328185328185,0.29100191448628,0.254487856388596,0.266248033557047,0.265534400939941,0.323665723117006,119.627003282388,"DET",13,6,0,31,31,195.1,11.1,1.52,0.83,2.21,2.74,2.45,2.66,6.6,113,110,NA,113,114,117,123,NA,NA,116,105,119
"Andrés Muñoz",2023,836,208,0.386533665835411,0.285171102661597,0.322429906542056,0.358974358974359,0.205741626794258,0.355392156862745,0.260700389105058,0.266355769230769,0.261928111314774,0.31862177618382,119.33259720376,"SEA",4,7,13,52,0,49,12.31,4.04,0.37,2.94,2.96,2.7,3.12,1.2,106,121,NA,NA,136,NA,NA,NA,NA,123,93,116
"Devin Williams",2025,1114,256,0.338129496402878,0.272463768115942,0.349917081260365,0.357142857142857,0.195691202872531,0.324853228962818,0.242506811989101,0.281278109375,0.266155928373337,0.323665723117006,119.33259720376,"NYY",4,6,18,67,0,62,13.06,3.63,0.73,4.79,3.07,2.68,2.95,1.4,103,NA,81,NA,NA,NA,125,NA,NA,114,101,117
"Michel Otañez",2024,601,151,0.384341637010676,0.262295081967213,0.301538461538462,0.328767123287671,0.173044925124792,0.33695652173913,0.280612244897959,0.246041033112583,0.262477725744247,0.318945146663843,119.234461844217,"OAK",1,0,1,36,0,34,14.56,5.29,0.53,3.44,2.49,2.73,3.38,0.7,131,118,NA,NA,121,NA,NA,NA,NA,124,80,102
"Jason Adam",2025,1087,265,0.310734463276836,0.227011494252874,0.321052631578947,0.382352941176471,0.167433302667893,0.326885880077369,0.21604938271605,0.263361238636364,0.268129736185074,0.323665723117006,118.449378967877,"SDP",8,4,0,65,0,65.1,9.64,3.44,0.55,1.93,2.68,3.07,3.98,1.2,97,NA,120,NA,106,NA,106,NA,NA,104,94,99
"Emmanuel Clase",2024,983,267,0.242314647377939,0.167095115681234,0.367713004484305,0.296875,0.227873855544252,0.2756052141527,0.210862619808307,0.244522707865169,0.264491617679596,0.318945146663843,118.351243608334,"CLE",4,2,47,74,0,74.1,7.99,1.21,0.24,0.61,2.45,2.22,2.81,2.2,92,96,125,NA,143,NA,NA,NA,NA,128,101,128
"Jeremiah Estrada",2025,1236,300,0.32398753894081,0.251716247139588,0.334967320261438,0.391566265060241,0.190938511326861,0.299679487179487,0.252927400468384,0.268398023333333,0.269590675830841,0.323665723117006,117.860566810621,"SDP",4,5,3,77,0,73,13.32,3.33,1.48,3.45,2.78,3.55,3.18,1,116,NA,NA,107,88,NA,NA,NA,NA,108,116,123
"Jeremiah Estrada",2024,1003,251,0.337662337662338,0.261213720316623,0.335429769392034,0.373134328358209,0.175473579262213,0.279467680608365,0.273255813953488,0.248483528,0.265725582838058,0.318945146663843,117.762431451079,"SDP",6,3,1,62,0,61,13.87,3.39,0.59,2.95,2.53,2.07,2.65,1.6,113,NA,NA,114,87,NA,NA,NA,NA,107,114,121
"Paul Sewald",2023,1037,246,0.271317829457364,0.232804232804233,0.285714285714286,0.298611111111111,0.200578592092575,0.317689530685921,0.224719101123596,0.256806451612903,0.266562253236771,0.31862177618382,117.271754653366,"2 Tms",3,2,34,65,0,60.2,11.87,3.56,1.19,3.12,2.75,3.57,3.76,0.8,124,NA,NA,NA,113,NA,NA,NA,NA,121,101,119
"Ryan Walker",2023,1078,261,0.291242362525458,0.206451612903226,0.324372759856631,0.264150943396226,0.181818181818182,0.403846153846154,0.228070175438596,0.269391634980989,0.266536235809326,0.31862177618382,117.271754653366,"SFG",5,3,1,49,13,61.1,11.45,3.52,1.17,3.23,3.05,3.68,3.47,0.7,NA,102,NA,NA,123,71,NA,NA,NA,113,101,108
"Andrew Nardi",2023,958,233,0.270103092783505,0.182370820668693,0.321649484536082,0.27536231884058,0.181628392484342,0.304439746300212,0.215339233038348,0.259739316239316,0.267080694437027,0.31862177618382,117.075483934281,"MIA",8,1,3,63,0,57.1,11.46,3.3,1.1,2.67,2.77,3.6,3.46,0.9,101,NA,NA,NA,118,NA,86,NA,NA,107,101,107
"Erik Swanson",2023,1059,261,0.303370786516854,0.241379310344828,0.332737030411449,0.406060606060606,0.186968838526912,0.304,0.228658536585366,0.269842911877395,0.267331004142761,0.31862177618382,116.977348574738,"TOR",4,2,4,69,0,66.2,10.13,2.84,1.08,2.97,3.04,3.51,3.81,0.9,87,NA,NA,106,94,NA,NA,NA,NA,98,100,98
