Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,ERA,xERA,FIP,xFIP,WAR,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
2025,Tarik Skubal,DET,13,6,0,31,31,195.1,11.1,1.52,0.83,2.21,2.74,2.45,2.66,6.6,113,110,,113,114,117,123,,,116,105,119
2025,Paul Skenes,PIT,10,10,0,32,32,187.2,10.36,2.01,0.53,1.97,2.59,2.36,3.03,6.5,98,114,,90,131,118,102,,,107,111,116
2024,Chris Sale,ATL,18,3,0,29,29,177.2,11.4,1.98,0.46,2.38,2.79,2.09,2.64,6.4,97,95,,,114,,100,,,104,111,110
2025,Cristopher Sánchez,PHI,13,5,0,32,32,202,9.45,1.96,0.53,2.5,3,2.55,2.77,6.4,,114,,,111,,117,,,114,101,117
2024,Tarik Skubal,DET,18,4,0,31,31,192,10.69,1.64,0.7,2.39,2.72,2.49,2.83,6,104,111,,,108,,127,98,,112,100,112
2023,Zack Wheeler,PHI,13,6,0,32,32,192,9.94,1.83,0.94,3.61,3.19,3.15,3.54,5.9,120,122,105,,113,116,76,,,117,106,122
2025,Garrett Crochet,BOS,18,5,0,32,32,205.1,11.18,2.02,1.05,2.59,2.92,2.89,2.64,5.8,112,102,117,,141,,102,,,116,99,112
2025,Logan Webb,SFG,15,11,0,34,34,207,9.74,2,0.61,3.22,3.61,2.6,2.78,5.5,103,114,86,,93,,111,,,105,107,111
2023,Spencer Strider,ATL,20,5,0,32,32,186.2,13.55,2.8,1.06,3.86,3.08,2.85,2.92,5.5,118,,,,120,,96,,,117,100,114
2024,Zack Wheeler,PHI,16,7,0,32,32,200,10.08,2.34,0.9,2.57,2.85,3.13,3.3,5.4,109,117,97,94,108,126,,,,110,104,113
2023,Sonny Gray,MIN,8,8,0,32,32,184,8.95,2.69,0.39,2.79,3.65,2.83,3.64,5.4,90,98,90,,128,94,85,,,99,98,101
2025,Jesús Luzardo,PHI,15,7,0,32,32,183.2,10.58,2.79,0.78,3.92,3.31,2.9,3.25,5.3,86,104,,,118,,95,,,102,112,113
2023,Gerrit Cole,NYY,15,4,0,33,33,209,9.56,2.07,0.86,2.63,3.46,3.16,3.6,5.3,105,,101,,119,,83,115,,107,106,112
2023,Kevin Gausman,TOR,12,9,0,31,31,185,11.53,2.68,0.92,3.16,3.84,2.97,3.22,5.3,99,,,104,91,,,,,100,104,106
2023,Zac Gallen,ARI,17,9,0,34,34,210,9.43,2.01,0.94,3.47,4.17,3.26,3.49,5.2,100,96,93,,93,,86,102,,98,105,105
2025,Yoshinobu Yamamoto,LAD,12,8,0,30,30,173.2,10.42,3.06,0.73,2.49,2.73,2.94,3.05,5,95,104,91,109,106,88,,,,98,110,110
2023,Logan Webb,SFG,11,13,0,33,33,216,8.08,1.29,0.83,3.25,3.63,3.16,2.95,4.9,88,106,,,106,,112,,,108,104,112
2023,Zach Eflin,TBR,16,8,0,31,31,177.2,9.42,1.22,0.96,3.5,3.02,3.01,3.12,4.9,116,106,95,,134,113,85,,,106,107,109
2024,Cole Ragans,KCR,11,9,0,32,32,186.1,10.77,3.24,0.72,3.14,3.31,2.99,3.46,4.9,110,,93,,124,,115,98,,110,99,110
2023,Justin Steele,CHC,16,5,0,30,30,173.1,9.14,1.87,0.73,3.06,3.51,3.02,3.32,4.8,98,92,,,120,128,86,,,106,103,108
2025,Max Fried,NYY,19,5,0,32,32,195.1,8.71,2.35,0.65,2.86,3.4,3.07,3.41,4.8,106,112,110,,118,116,104,,,111,102,113
2024,Dylan Cease,SDP,14,11,0,33,33,189.1,10.65,3.09,0.86,3.47,3.31,3.1,3.44,4.7,100,,108,,121,,96,98,,110,104,113
2024,Seth Lugo,KCR,16,9,0,33,33,206.2,7.88,2.09,0.7,3,3.74,3.25,3.83,4.7,93,94,93,86,102,107,77,,,97,100,97
2024,Cristopher Sánchez,PHI,11,9,0,31,31,181.2,7.58,2.18,0.54,3.32,3.55,3,3.19,4.7,,103,88,,105,,113,,,107,103,111
2024,Garrett Crochet,CHW,6,12,0,32,32,146,12.88,2.03,1.11,3.58,2.84,2.69,2.38,4.6,110,113,124,,137,,91,,,116,103,116
2023,Pablo López,MIN,11,8,0,32,32,194,10.86,2.23,1.11,3.66,3.01,3.33,3.28,4.6,102,109,,,97,100,89,,,99,114,112
2025,Hunter Brown,HOU,12,9,0,31,31,185.1,10,2.77,0.83,2.43,3.13,3.14,3.19,4.6,112,115,102,,93,,90,104,,107,95,103
2024,Logan Webb,SFG,13,10,0,33,33,204.2,7.56,2.2,0.48,3.47,4.3,2.95,3.28,4.4,92,111,80,,109,,112,,,109,104,112
2023,Framber Valdez,HOU,12,11,0,31,31,198,9.09,2.59,0.86,3.45,4.32,3.5,3.39,4.4,52,94,105,,126,119,100,,,104,100,106
2024,Paul Skenes,PIT,11,3,0,23,23,133,11.5,2.17,0.68,1.96,2.52,2.44,2.54,4.3,99,107,,,155,119,116,,,108,110,115
2023,George Kirby,SEA,13,10,0,31,31,190.2,8.12,0.9,1.04,3.35,3.9,3.34,3.63,4.2,99,106,,126,104,,93,105,,104,114,113
2023,Jordan Montgomery,2 Tms,10,11,0,32,32,188.2,7.92,2.29,0.86,3.2,3.98,3.56,4.01,4.2,84,96,100,,,119,94,,,99,102,101
2024,George Kirby,SEA,14,11,0,33,33,191,8.43,1.08,1.04,3.53,3.43,3.26,3.58,4.1,103,108,97,116,93,,,118,,104,110,112
2023,Blake Snell,SDP,14,9,0,32,32,180,11.7,4.95,0.75,2.25,3.77,3.44,3.62,4.1,92,,,,97,120,93,,,98,101,105
2025,Kevin Gausman,TOR,10,11,0,32,32,193,8.81,2.33,0.98,3.59,3.7,3.42,3.77,4.1,97,119,,105,94,,,,,100,103,102
