Name,Season,Usage_CH,Usage_FC,Usage_FF,Usage_FS,Usage_SI,Usage_SL,Usage_ST,Usage_CU,Usage_FO,Stuff_CH,Stuff_FC,Stuff_FF,Stuff_FS,Stuff_SI,Stuff_SL,Stuff_ST,Stuff_CU,Stuff_FO,RE100,Pitches
A.J. Minter,2024,0.178,0.345,0.477,NA,NA,NA,NA,NA,NA,95,117,107,NA,NA,NA,NA,NA,NA,1.147509579,522
A.J. Minter,2025,0.097,0.476,0.427,NA,NA,NA,NA,NA,NA,93,111,109,NA,NA,NA,NA,NA,NA,2.571891892,185
A.J. Puk,2024,0.014,NA,0.431,0.026,0.148,0.216,0.165,NA,NA,85,NA,111,94,96,111,111,NA,NA,0.895907928,1173
A.J. Puk,2025,NA,NA,0.622,NA,0.013,0.359,0.006,NA,NA,NA,NA,117,NA,108,117,117,NA,NA,-1.155769231,156
AJ Smith-Shawver,2025,NA,NA,0.461,0.349,NA,0.043,NA,0.147,NA,NA,NA,90,114,NA,81,NA,89,NA,-0.012778603,673
Aaron Ashby,2024,0.205,NA,0.021,NA,0.446,0.136,NA,0.192,NA,100,NA,71,NA,101,132,NA,123,NA,0.584710744,484
Aaron Brooks,2024,0.134,NA,0.278,NA,0.246,0.325,NA,0.017,NA,86,NA,67,NA,97,99,NA,86,NA,-1.299503722,403
Aaron Bummer,2024,0.011,0.05,0.1,NA,0.398,NA,0.418,0.023,NA,86,103,106,NA,108,NA,123,130,NA,0.292607803,974
Aaron Bummer,2025,NA,NA,0.125,NA,0.341,NA,0.247,0.287,NA,NA,NA,94,NA,104,NA,122,128,NA,0.319241192,369
Aaron Civale,2024,NA,0.322,0.097,0.02,0.242,0.015,0.147,0.157,NA,NA,102,93,76,82,124,124,145,NA,-0.387884402,2699
Aaron Civale,2025,NA,0.386,0.141,0.041,0.245,0.059,0.027,0.1,NA,NA,90,94,75,78,110,110,138,NA,-1.952272727,220
Aaron Nola,2024,0.096,0.092,0.277,NA,0.206,NA,NA,0.329,NA,81,96,111,NA,109,NA,NA,127,NA,0.321856381,3189
Aaron Nola,2025,0.148,0.107,0.255,NA,0.204,NA,NA,0.286,NA,79,94,109,NA,108,NA,NA,118,NA,-1.156778679,863
Abner Uribe,2024,NA,NA,0.012,NA,0.643,0.345,NA,NA,NA,NA,NA,110,NA,114,114,NA,NA,NA,-0.558527132,258
Abner Uribe,2025,NA,NA,0.017,NA,0.522,0.462,NA,NA,NA,NA,NA,122,NA,110,130,NA,NA,NA,0.894976077,418
Adam Cimber,2024,NA,NA,0.31,NA,0.363,0.327,NA,NA,NA,NA,NA,107,NA,112,118,NA,NA,NA,-0.129807692,416
Adam Mazur,2024,0.103,NA,0.396,NA,0.038,0.336,0.002,0.127,NA,82,NA,76,NA,87,110,110,104,NA,-2.2125,584
Adam Oller,2024,0.078,NA,0.463,NA,NA,0.009,NA,0.449,NA,79,NA,100,NA,NA,97,NA,85,NA,-1.095023328,643
Adam Ottavino,2024,0.05,0.111,0.101,NA,0.341,0.021,0.377,NA,NA,89,96,119,NA,107,111,111,NA,NA,0.468040201,995
Adbert Alzolay,2024,0.006,0.082,0.204,NA,0.237,0.471,NA,NA,NA,82,107,101,NA,94,104,NA,NA,NA,-1.90212766,329
Adrian Houser,2024,0.127,NA,0.168,NA,0.445,0.173,NA,0.087,NA,88,NA,80,NA,99,88,NA,75,NA,-1.274624226,1131
Adrian Houser,2025,0.106,NA,0.307,NA,0.339,0.101,NA,0.148,NA,105,NA,93,NA,102,87,NA,60,NA,2.228042328,189
Adrian Morejon,2024,NA,NA,0.232,0.078,0.362,0.302,0.026,NA,NA,NA,NA,115,144,119,133,133,NA,NA,0.329511278,1064
Adrian Morejon,2025,NA,0.102,0.063,0.021,0.584,0.229,NA,NA,NA,NA,99,116,144,114,133,NA,NA,NA,1.279819277,332
Albert Suárez,2024,0.172,0.195,0.5,NA,NA,NA,NA,0.133,NA,81,97,86,NA,NA,NA,NA,101,NA,0.058978952,2233
Alec Marsh,2024,0.1,NA,0.37,NA,0.138,0.179,0.049,0.164,NA,85,NA,90,NA,97,100,100,99,NA,-0.422767237,2161
Alek Jacob,2024,0.306,NA,0.211,NA,0.341,NA,0.142,NA,NA,119,NA,115,NA,95,NA,98,NA,NA,1.820258621,232
Alek Jacob,2025,0.322,NA,0.409,NA,0.167,NA,0.103,NA,NA,107,NA,115,NA,102,NA,113,NA,NA,-2.194292237,438
Alek Manoah,2024,0.147,NA,0.277,NA,0.272,0.305,NA,NA,NA,61,NA,91,NA,94,90,NA,NA,NA,-0.555583756,394
Alex Cobb,2024,NA,NA,NA,0.442,0.425,NA,NA,0.133,NA,NA,NA,NA,97,108,NA,NA,96,NA,1.101666667,240
Alex Faedo,2024,0.199,NA,0.352,NA,0.054,0.396,NA,NA,NA,92,NA,94,NA,89,104,NA,NA,NA,-0.107249255,1007
Alex Lange,2024,0.072,NA,0.114,NA,0.236,NA,NA,0.578,NA,105,NA,80,NA,111,NA,NA,100,NA,-0.24270557,377
Alex Vesia,2024,0.051,NA,0.632,NA,NA,0.318,NA,NA,NA,87,NA,116,NA,NA,115,NA,NA,NA,1.275812274,1108
Alex Vesia,2025,0.068,NA,0.532,NA,NA,0.4,NA,NA,NA,103,NA,127,NA,NA,121,NA,NA,NA,0.10902439,410
Alex Wood,2024,0.224,NA,NA,NA,0.461,0.315,NA,NA,NA,83,NA,NA,NA,92,102,NA,NA,NA,-2.182251656,755
Alex Young,2024,0.464,NA,0.007,NA,0.382,0.004,NA,0.142,NA,91,NA,80,NA,84,80,NA,111,NA,-0.095505618,267
Alexis Díaz,2024,NA,NA,0.579,NA,NA,0.421,NA,NA,NA,NA,NA,89,NA,NA,96,NA,NA,NA,0.031013306,977
Alexis Díaz,2025,NA,NA,0.664,NA,NA,0.336,NA,NA,NA,NA,NA,95,NA,NA,86,NA,NA,NA,-6.276335878,131
Allan Winans,2024,0.415,NA,0.156,NA,0.231,0.197,NA,NA,NA,88,NA,72,NA,83,80,NA,NA,NA,-5.326530612,147
Amir Garrett,2024,NA,NA,0.356,NA,0.01,0.635,NA,NA,NA,NA,NA,102,NA,107,111,NA,NA,NA,-0.463461538,104
Andre Pallante,2024,NA,NA,0.504,NA,0.198,0.172,NA,0.126,NA,NA,NA,96,NA,104,90,NA,96,NA,0.580558428,1934
Andre Pallante,2025,NA,NA,0.502,NA,0.142,0.248,NA,0.108,NA,NA,NA,89,NA,103,91,NA,98,NA,0.035102041,980
Andrew Abbott,2024,0.163,NA,0.535,NA,NA,0.002,0.183,0.116,NA,85,NA,88,NA,NA,123,123,90,NA,-0.386369481,2333
Andrew Abbott,2025,0.209,0.029,0.489,NA,NA,NA,0.152,0.122,NA,91,93,91,NA,NA,NA,115,98,NA,1.129799427,698
Andrew Chafin,2024,NA,NA,0.147,NA,0.395,0.458,NA,NA,NA,NA,NA,81,NA,91,108,NA,NA,NA,0.15770424,967
Andrew Chafin,2025,0.005,NA,0.143,NA,0.376,0.476,NA,NA,NA,71,NA,78,NA,88,124,NA,NA,NA,-0.633333333,189
Andrew Heaney,2024,0.169,0.002,0.512,NA,0.003,0.272,NA,0.041,NA,95,88,104,NA,116,95,NA,86,NA,-0.14891981,2731
Andrew Heaney,2025,0.189,NA,0.445,NA,0.102,0.143,NA,0.122,NA,87,NA,98,NA,102,93,NA,98,NA,0.317435897,975
Andrew Kittredge,2024,NA,0.006,0.127,NA,0.373,0.495,NA,NA,NA,NA,111,89,NA,101,101,NA,NA,NA,0.65443038,1027
Andrew Nardi,2024,0.008,NA,0.608,NA,NA,0.384,NA,NA,NA,91,NA,104,NA,NA,111,NA,NA,NA,-0.211810155,906
Andrew Walters,2024,NA,NA,0.629,NA,NA,0.371,NA,NA,NA,NA,NA,112,NA,NA,106,NA,NA,NA,3.658333333,132
Andrés Muñoz,2024,NA,NA,0.323,NA,0.206,0.471,NA,NA,NA,NA,NA,107,NA,118,116,NA,NA,NA,1.201051525,951
Andrés Muñoz,2025,0.011,NA,0.365,NA,0.133,0.49,NA,NA,NA,113,NA,109,NA,118,118,NA,NA,NA,2.883286119,353
Angel Chivilli,2024,0.402,NA,0.416,NA,NA,0.182,NA,NA,NA,101,NA,93,NA,NA,110,NA,NA,NA,-0.494335938,512
Angel Chivilli,2025,0.415,NA,0.464,NA,NA,0.121,NA,NA,NA,91,NA,93,NA,NA,101,NA,NA,NA,-2.021472393,489
Angel Zerpa,2024,0.103,NA,0.197,NA,0.437,0.261,NA,0.002,NA,94,NA,80,NA,122,123,NA,141,NA,-0.328811777,951
Angel Zerpa,2025,0.021,NA,0.204,NA,0.426,0.347,NA,0.003,NA,87,NA,89,NA,123,119,NA,141,NA,-1.1,383
Anthony Banda,2024,0.127,NA,0.346,NA,0.244,0.283,NA,NA,NA,88,NA,95,NA,118,117,NA,NA,NA,0.785658915,774
Anthony Banda,2025,0.026,NA,0.325,NA,0.205,0.445,NA,NA,NA,91,NA,93,NA,100,100,NA,NA,NA,0.249872123,391
Anthony Bender,2024,0.039,NA,0.019,NA,0.462,0.016,0.464,NA,NA,105,NA,82,NA,105,134,134,NA,NA,0.381672026,933
Anthony Bender,2025,0.051,NA,0.039,NA,0.265,0.226,0.42,NA,NA,106,NA,86,NA,107,118,118,NA,NA,1.527083333,336
Anthony Maldonado,2024,NA,0.047,0.333,NA,NA,0.62,NA,NA,NA,NA,74,86,NA,NA,97,NA,NA,NA,-0.092255892,297
Anthony Molina,2024,0.224,NA,0.483,NA,NA,0.224,NA,0.069,NA,107,NA,76,NA,NA,96,NA,124,NA,-0.714408397,1048
Anthony Veneziano,2024,0.062,NA,0.467,NA,0.004,0.231,0.236,NA,NA,101,NA,93,NA,106,116,116,NA,NA,-1.29214876,242
Anthony Veneziano,2025,0.071,NA,0.375,NA,0.039,0.243,0.272,NA,NA,91,NA,85,NA,106,106,106,NA,NA,-1.161812298,309
