"ump","Calls","Right","Wrong","Accuracy","RE","WP","REM","WPM","RE100","WP100"
"Willie Traynor",979,915,64,0.935,9.39002123348415,0.0138596806144925,0.14672,0.00022,0.95914,0.00142
"Alan Porter",7394,6938,456,0.938,65.6183486859351,0.128761212024838,0.1439,0.00028,0.88745,0.00174
"John Libka",7499,7017,482,0.936,61.7355024434253,0.151325763106346,0.12808,0.00031,0.82325,0.00202
"Ben May",6771,6326,445,0.934,59.5620029505267,0.141863592687528,0.13385,0.00032,0.87966,0.0021
"Derek Thomas",6494,6115,379,0.942,55.2333685494921,0.137116136301659,0.14573,0.00036,0.85053,0.00211
"Brian Knight",2316,2162,154,0.934,19.7155259329397,0.0493450333261577,0.12802,0.00032,0.85127,0.00213
"Edwin Jimenez",5530,5163,367,0.934,47.7018926090523,0.117907266653609,0.12998,0.00032,0.8626,0.00213
"Emil Jimenez",7774,7208,566,0.927,74.0630608870537,0.171407547811047,0.13085,0.0003,0.9527,0.0022
"Adam Beck",7248,6756,492,0.932,69.2686944816112,0.161433741098153,0.14079,0.00033,0.95569,0.00223
"Tyler Jones",108,99,9,0.917,1.09865897318721,0.00242132702469826,0.12207,0.00027,1.01728,0.00224
"Dan Merzel",7215,6738,477,0.934,66.1439340479746,0.163198872998881,0.13867,0.00034,0.91676,0.00226
"Ramon De Jesus",7477,6918,559,0.925,73.0519953345434,0.168752154536312,0.13068,0.0003,0.97702,0.00226
"Jeremy Riggs",2557,2392,165,0.935,22.4845755995438,0.0584196013025942,0.13627,0.00035,0.87933,0.00228
"Shane Livensparger",4343,4058,285,0.934,40.5770462093353,0.0989681276321644,0.14238,0.00035,0.93431,0.00228
"Todd Tichenor",6964,6454,510,0.927,70.7691667201296,0.159009106585989,0.13876,0.00031,1.01621,0.00228
"David Arrieta",1720,1583,137,0.92,20.7676953856945,0.03974223189801,0.15159,0.00029,1.20742,0.00231
"Austin Jones",3836,3586,250,0.935,35.6437859136835,0.089734570894158,0.14258,0.00036,0.92919,0.00234
"Adam Hamari",7498,7003,495,0.934,68.4054723551869,0.175595498037351,0.13819,0.00035,0.91232,0.00234
