"game_pk","ump"
747139,"Scott Barry"
747064,"Dan Bellino"
747061,"Laz Diaz"
747066,"Will Little"
747065,"Erich Bacchus"
747068,"Mike Estabrook"
746010,"Chad Fairchild"
746012,"Junior Valentine"
746013,"Carlos Torres"
746663,"Derek Thomas"
746662,"Ryan Blakney"
746659,"Sean Barber"
747067,"Jordan Baker"
747071,"Dan Merzel"
747070,"John Libka"
747069,"Stu Scheurwater"
744804,"Ryan Additon"
744807,"Erich Bacchus"
747090,"David Rackley"
747072,"Doug Eddings"
747076,"Malachi Moore"
747074,"Bill Miller"
747073,"Jansen Visconti"
747075,"Andy Fletcher"
747079,"Mike Muchlinski"
745536,"Edwin Moscoso"
745532,"Adam Hamari"
745533,"Paul Clemons"
745531,"Vic Carapazza"
745866,"Jeremie Rehak"
745864,"Clint Vondrak"
745865,"Mark Wegner"
747078,"Ramon De Jesus"
747077,"John Bacon"
747080,"Adrian Johnson"
747082,"Nestor Ceja"
747084,"Cory Blaser"
747083,"Todd Tichenor"
746186,"Rob Drake"
746190,"John Libka"
746189,"Charlie Ramos"
745298,"Dan Iassogna"
745301,"Adam Beck"
745302,"Jeremy Riggs"
745300,"CB Bucknor"
746517,"Junior Valentine"
746520,"Ramon De Jesus"
746523,"Jonathan Parra"
747081,"Ryan Wills"
747085,"Brian Walsh"
747086,"Carlos Torres"
747088,"Nestor Ceja"
747087,"Austin Jones"
747089,"Todd Tichenor"
747092,"Manny Gonzalez"
745960,"Mark Ripperger"
745958,"Lance Barrett"
745959,"Alfonso Márquez"
745795,"Ryan Additon"
745793,"Doug Eddings"
745792,"Gabe Morales"
745794,"Emil Jimenez"
747091,"Marvin Hudson"
747095,"Nick Mahrley"
747094,"Derek Thomas"
747096,"Larry Vanover"
747093,"David Rackley"
745385,"Tony Randazzo"
745392,"Phil Cuzzi"
745390,"Dan Bellino"
747178,"Manny Gonzalez"
747179,"Cory Blaser"
747180,"Paul Clemons"
747181,"Todd Tichenor"
747098,"Mike Estabrook"
747099,"Tripp Gibson"
747097,"Laz Diaz"
747103,"Sean Barber"
747100,"Ryan Additon"
747102,"Doug Eddings"
747101,"David Rackley"
747104,"David Arrieta"
747105,"Larry Vanover"
746816,"Chris Segal"
745158,"Mark Ripperger"
745157,"Lance Barrett"
745160,"Alfonso Márquez"
745727,"Chris Conroy"
745731,"Derek Thomas"
745729,"Mark Ripperger"
747106,"Jeremy Riggs"
747107,"Tony Randazzo"
747108,"Phil Cuzzi"
747109,"Chris Segal"
747113,"Nate Tomlinson"
747112,"David Rackley"
747026,"Malachi Moore"
747028,"Bill Miller"
747027,"Chad Whitson"
744849,"Andy Fletcher"
744848,"Jansen Visconti"
744845,"Tom Hanahan"
744844,"Adam Beck"
746950,"David Rackley"
746949,"Ramon De Jesus"
747110,"Rob Drake"
747111,"James Hoye"
747116,"John Libka"
747114,"Quinn Wolcott"
747117,"Will Little"
747115,"Nic Lentz"
747118,"Lance Barksdale"
745498,"John Tumpane"
745493,"Hunter Wendelstedt"
745501,"Nick Mahrley"
746874,"Ryan Additon"
746876,"Gabe Morales"
746875,"Chris Guccione"
747121,"Alex Tosi"
747119,"Phil Cuzzi"
747120,"Tom Hanahan"
747122,"Tony Randazzo"
747123,"Ramon De Jesus"
747124,"Junior Valentine"
747128,"Quinn Wolcott"
745825,"Rob Drake"
745828,"James Hoye"
745827,"John Libka"
747127,"Alan Porter"
747126,"Jim Wolf"
746153,"Cory Blaser"
746155,"Todd Tichenor"
746152,"Nestor Ceja"
745261,"Nic Lentz"
745260,"Gabe Morales"
745263,"Lance Barksdale"
747125,"Jim Wolf"
747131,"Brian Knight"
747129,"Chris Guccione"
747132,"Jonathan Parra"
747130,"Rob Drake"
747134,"James Hoye"
747133,"Brock Ballou"
747135,"Dan Iassogna"
747136,"Adam Beck"
746401,"Dan Bellino"
746400,"Alex Tosi"
746406,"Tony Randazzo"
746079,"Paul Clemons"
746082,"Brian O'Nora"
746084,"Brennan Miller"
747137,"Charlie Ramos"
747138,"Carlos Torres"
747142,"Junior Valentine"
747141,"Adam Hamari"
747140,"Mark Ripperger"
747143,"Alex MacKay"
746814,"Tom Hanahan"
746817,"Erich Bacchus"
745602,"Jeremie Rehak"
745599,"Bruce Dreckman"
745604,"Mark Wegner"
747147,"Stu Scheurwater"
747146,"Jordan Baker"
747145,"Alex Tosi"
747144,"Roberto Ortiz"
747149,"Lance Barrett"
747150,"Alfonso Márquez"
745929,"Mike Muchlinski"
745936,"Chris Segal"
745934,"Jansen Visconti"
745937,"Andy Fletcher"
746500,"Brian Walsh"
746503,"Rob Drake"
746502,"Doug Eddings"
747151,"Erich Bacchus"
747148,"Tripp Gibson"
747153,"Mike Estabrook"
747154,"Tony Randazzo"
747152,"Phil Cuzzi"
746345,"Lance Barrett"
746344,"Alfonso Márquez"
746343,"Mark Ripperger"
745289,"Ryan Additon"
745290,"Quinn Wolcott"
745293,"Chris Guccione"
747155,"Ramon De Jesus"
747157,"Junior Valentine"
747158,"Adrian Johnson"
747156,"Quinn Wolcott"
747159,"Bill Miller"
747161,"Sean Barber"
747162,"Emil Jimenez"
746918,"Lance Barksdale"
746917,"Scott Barry"
746920,"Nic Lentz"
746028,"Gabe Morales"
746029,"Doug Eddings"
746027,"Paul Clemons"
745051,"Dan Bellino"
745049,"Phil Cuzzi"
745054,"Tony Randazzo"
747163,"Mark Wegner"
747160,"Bruce Dreckman"
747165,"Jeremie Rehak"
747166,"Lance Barksdale"
747164,"Nic Lentz"
747168,"Will Little"
747169,"Derek Thomas"
746604,"John Tumpane"
746602,"D.J. Reyburn"
746600,"Charlie Ramos"
745468,"Jonathan Parra"
745474,"Junior Valentine"
745471,"Ramon De Jesus"
747170,"Carlos Torres"
747167,"Chad Fairchild"
747172,"Ryan Wills"
747173,"Adam Beck"
747171,"CB Bucknor"
747174,"Ben May"
746279,"Brian O'Nora"
746281,"Brennan Miller"
746280,"Jordan Baker"
746853,"Lance Barrett"
746852,"Alfonso Márquez"
746854,"Roberto Ortiz"
747176,"Gabe Morales"
747177,"Ryan Additon"
747175,"Doug Eddings"
745391,"Alex MacKay"
745395,"Bill Miller"
745398,"Chad Whitson"
746126,"Stu Scheurwater"
746128,"Jordan Baker"
746133,"Dan Merzel"
747182,"Brian Walsh"
747186,"Adam Hamari"
747183,"Alex Tosi"
747185,"Mike Muchlinski"
747184,"Jansen Visconti"
747188,"Andy Fletcher"
745566,"Ben May"
745564,"Dan Iassogna"
745562,"Adam Beck"
744841,"Paul Clemons"
744842,"Ryan Wills"
744843,"Chad Fairchild"
747189,"Marvin Hudson"
747187,"Nick Mahrley"
747191,"John Tumpane"
747192,"Edwin Moscoso"
747193,"Brian Walsh"
747190,"Adam Hamari"
745407,"Charlie Ramos"
745410,"Tripp Gibson"
745406,"Mike Estabrook"
745408,"Erich Bacchus"
747195,"Chris Guccione"
747196,"Brian Knight"
747194,"Ryan Additon"
745813,"Roberto Ortiz"
745812,"Mark Ripperger"
745820,"Lance Barrett"
745819,"Alfonso Márquez"
745011,"Emil Jimenez"
745017,"Todd Tichenor"
747197,"John Libka"
747199,"D.J. Reyburn"
747200,"Rob Drake"
746143,"Chad Fairchild"
746145,"Ryan Wills"
746146,"Carlos Torres"
747198,"Chris Segal"
747202,"Nate Tomlinson"
747201,"David Rackley"
747203,"Jordan Baker"
747205,"Stu Scheurwater"
747204,"Mark Carlson"
747042,"Bill Miller"
747041,"Chad Whitson"
747043,"John Bacon"
746715,"Edwin Moscoso"
746717,"Adam Hamari"
746718,"Vic Carapazza"
747206,"Phil Cuzzi"
747209,"Dan Bellino"
747208,"Alex Tosi"
747207,"Ramon De Jesus"
747210,"Junior Valentine"
747211,"Quinn Wolcott"
745265,"Bill Miller"
745266,"Chad Whitson"
745269,"Doug Eddings"
745188,"D.J. Reyburn"
745193,"Paul Clemons"
745191,"Brian O'Nora"
745353,"Stu Scheurwater"
745354,"Jordan Baker"
745352,"Dan Merzel"
745356,"Mark Carlson"
747212,"Nate Tomlinson"
747214,"Alan Porter"
747213,"Sean Barber"
747216,"Junior Valentine"
747215,"Adrian Johnson"
747217,"Quinn Wolcott"
746573,"Lance Barksdale"
746571,"Emil Jimenez"
746569,"Nic Lentz"
747219,"Brian Walsh"
747220,"Scott Barry"
747218,"Larry Vanover"
747222,"Alex Tosi"
747221,"Tony Randazzo"
747223,"Phil Cuzzi"
747224,"Dan Bellino"
745846,"Todd Tichenor"
745849,"Nestor Ceja"
745847,"Cory Blaser"
745691,"David Rackley"
745690,"Carlos Torres"
745688,"Ryan Wills"
746982,"Adam Beck"
746983,"Ben May"
746984,"CB Bucknor"
746985,"Dan Merzel"
746988,"John Libka"
746987,"Stu Scheurwater"
746419,"Derek Thomas"
746422,"Lance Barksdale"
746423,"Will Little"
746908,"Paul Clemons"
746907,"Ryan Wills"
746909,"Chad Fairchild"
746989,"Mark Wegner"
746986,"Bruce Dreckman"
746993,"Alex MacKay"
746990,"Charlie Ramos"
746991,"Hunter Wendelstedt"
746992,"Marvin Hudson"
746505,"Bill Miller"
746507,"Emil Jimenez"
746511,"Tripp Gibson"
746102,"Mike Muchlinski"
746103,"John Bacon"
746105,"Jansen Visconti"
746994,"Mark Ripperger"
746996,"Roberto Ortiz"
746995,"Lance Barrett"
746998,"Alex MacKay"
745781,"Marvin Hudson"
745782,"Nick Mahrley"
