"ExitSpeed","Angle","xwOBA"
34,-80,0.05562
35,-80,0.20941
36,-80,0.28318
37,-80,0.29667
38,-80,0.32364
39,-80,0.20227
40,-80,0.05562
41,-80,0.09889
42,-80,0.09889
43,-80,0.36409
44,-80,0.33375
45,-80,0.29667
46,-80,0.2492
47,-80,0
48,-80,0.03069
49,-80,0.04944
50,-80,0.05562
51,-80,0.08344
52,-80,0.08344
53,-80,0.16688
54,-80,0.27194
55,-80,0.2225
56,-80,0.2822
57,-80,0.25429
58,-80,0.12714
59,-80,0.22968
60,-80,0.16688
61,-80,0.14833
62,-80,0.24722
63,-80,0.17226
64,-80,0.20767
65,-80,0.267
66,-80,0.17115
67,-80,0.19778
68,-80,0.14833
69,-80,0.16481
70,-80,0.17115
71,-80,0.2136
72,-80,0.24273
73,-80,0.14833
74,-80,0.20941
76,-80,0.178
77,-80,0.11867
78,-80,0.15706
79,-80,0.14053
80,-80,0.16688
34,-79,0.05235
35,-79,0.19778
36,-79,0.23962
37,-79,0.27621
38,-79,0.30808
39,-79,0.19778
40,-79,0.09368
41,-79,0.08091
42,-79,0.08091
43,-79,0.29667
44,-79,0.27621
45,-79,0.23962
46,-79,0.20343
47,-79,0.04944
48,-79,0.06512
49,-79,0.07739
50,-79,0.08683
51,-79,0.09889
52,-79,0.09889
53,-79,0.19537
54,-79,0.27548
55,-79,0.22686
56,-79,0.27813
57,-79,0.23421
58,-79,0.11125
59,-79,0.21079
60,-79,0.18628
61,-79,0.16688
62,-79,0.25429
63,-79,0.18628
64,-79,0.18256
65,-79,0.22821
66,-79,0.14355
67,-79,0.16182
68,-79,0.12276
69,-79,0.14355
70,-79,0.16182
71,-79,0.20767
72,-79,0.25429
73,-79,0.19348
74,-79,0.2225
75,-79,0.267
76,-79,0.18542
77,-79,0.1424
78,-79,0.17115
79,-79,0.11609
80,-79,0.14833
34,-78,0.05235
35,-78,0.178
36,-78,0.24552
37,-78,0.27813
38,-78,0.29667
39,-78,0.18879
40,-78,0.07417
41,-78,0.09536
42,-78,0.09207
43,-78,0.31581
44,-78,0.28794
45,-78,0.23733
46,-78,0.20538
47,-78,0.06357
48,-78,0.07265
49,-78,0.08091
50,-78,0.09271
51,-78,0.10595
52,-78,0.10854
53,-78,0.2225
54,-78,0.29127
55,-78,0.23641
56,-78,0.28183
57,-78,0.22767
58,-78,0.12136
59,-78,0.2331
60,-78,0.1958
61,-78,0.17175
62,-78,0.23017
63,-78,0.15706
64,-78,0.16182
65,-78,0.20227
66,-78,0.12027
67,-78,0.14053
68,-78,0.14833
69,-78,0.19243
70,-78,0.21649
71,-78,0.25429
72,-78,0.267
73,-78,0.18414
74,-78,0.20538
75,-78,0.2637
76,-78,0.20097
77,-78,0.15345
78,-78,0.17226
79,-78,0.10269
80,-78,0.12136
81,-78,0.23733
84,-78,0.23733
85,-78,0.15706
39,-77,0.11125
41,-77,0.04684
42,-77,0.0387
43,-77,0.18542
44,-77,0.16481
45,-77,0.18542
46,-77,0.19778
47,-77,0.11867
48,-77,0.11484
49,-77,0.11484
50,-77,0.14355
51,-77,0.12714
52,-77,0.15345
53,-77,0.24475
54,-77,0.26459
55,-77,0.27385
56,-77,0.30447
57,-77,0.25958
58,-77,0.18414
59,-77,0.24552
60,-77,0.23559
61,-77,0.19243
62,-77,0.21649
63,-77,0.14833
64,-77,0.11609
65,-77,0.11609
66,-77,0.14833
67,-77,0.1335
68,-77,0.16952
69,-77,0.24273
70,-77,0.2119
71,-77,0.28105
72,-77,0.29667
73,-77,0.20941
74,-77,0.178
75,-77,0.20227
76,-77,0.15478
77,-77,0.12714
78,-77,0.14833
79,-77,0.05235
80,-77,0.05562
36,-76,0.11125
37,-76,0.20941
38,-76,0.23733
39,-76,0.1335
40,-76,0.16952
41,-76,0.11609
42,-76,0.09207
43,-76,0.19071
44,-76,0.15893
45,-76,0.15893
46,-76,0.18414
47,-76,0.14355
48,-76,0.12714
49,-76,0.13692
50,-76,0.20538
51,-76,0.178
52,-76,0.17226
53,-76,0.24273
54,-76,0.2331
55,-76,0.24475
56,-76,0.28105
57,-76,0.20227
58,-76,0.16481
59,-76,0.2225
60,-76,0.23559
61,-76,0.21707
62,-76,0.23421
63,-76,0.19243
64,-76,0.14355
65,-76,0.15345
66,-76,0.17115
67,-76,0.14833
68,-76,0.20227
69,-76,0.24273
70,-76,0.2225
71,-76,0.23217
72,-76,0.24722
73,-76,0.23421
75,-76,0.24273
76,-76,0.18542
77,-76,0.12714
78,-76,0.1424
79,-76,0.10471
80,-76,0.15706
81,-76,0.178
35,-75,0.05562
36,-75,0.08091
37,-75,0.12136
38,-75,0.14053
39,-75,0.07739
40,-75,0.11125
41,-75,0.1068
42,-75,0.09207
43,-75,0.19071
44,-75,0.16481
45,-75,0.15893
46,-75,0.18542
47,-75,0.11125
48,-75,0.11609
49,-75,0.11609
50,-75,0.18542
51,-75,0.17115
52,-75,0.13906
53,-75,0.20538
54,-75,0.20025
55,-75,0.21649
56,-75,0.27971
57,-75,0.2225
58,-75,0.21483
59,-75,0.25031
60,-75,0.23559
61,-75,0.2225
62,-75,0.22886
63,-75,0.20097
64,-75,0.16481
